名称	图标文件	原版法力	StS2费用	参考类型	升级前效果(英文原文)	升级后效果(英文原文)
Barf Ball	ABILITY_Barf_Ball.svg	6		Attack	A ranged attack that deals damage equal to half your Constitution, rounded up.	A ranged attack that deals damage equal to half your Constitution, rounded up. (This spell costs less.)
BBQ	ABILITY_BBQ.svg	5		Skill	Spawn a cooked meat pickup.	Spawn a big cooked meat pickup.
Block	ABILITY_Block.svg	5		Skill	Gain +2 Shield.	Gain +5 Shield.
Blow	ABILITY_Blow.svg	4		Skill	Blow units in a cone back 1 tile.	Blow units in a larger cone back 1 tile.
Blow Kiss	ABILITY_Blow_Kiss.svg	4		Skill	Heal another unit by 1 HP at infinite range.	Heal another unit by 2 HP at infinite range.
Boost	ABILITY_Boost.svg	3		Attack	Gain +1 Magic Damage until end of turn.	Gain +1 Magic Damage until end of turn. (This spell costs less.)
Borrow Mana	ABILITY_Borrow_Mana.svg	0		Skill	Steal up to 5 mana from an ally. (Castable once per turn.)	Steal all of an ally's mana. (Castable once per turn.)
Brace	ABILITY_Brace.svg	3		Skill	Gain +1 temporary Brace until your next turn.	Gain +1 temporary Brace and +1 temporary Thorns until your next turn.
Brainstorm	ABILITY_Brainstorm.svg	7		Skill	Reduce the costs of your other spells by 1 mana.	Reduce the cost of ALL of your spells by 1 mana.
Burgeoning Barrier	ABILITY_Burgeoning_Barrier.svg	0		Skill	Gain 0 Shield. Increase this spell's Shield by 2 at the end of each turn. (Castable once per battle.)	Gain 0 Shield. Increase this spell's Shield by 3 at the end of each turn. (Castable once per battle.)
Burgeoning Battery	ABILITY_Burgeoning_Battery.svg	0		Skill	Gain 0 mana. Increase this spell's mana gain by 2 at the end of each turn. (Castable once per battle.)	Gain 0 mana. Increase this spell's mana gain by 3 at the end of each turn. (Castable once per battle.)
Burgeoning Blast	ABILITY_Burgeoning_Blast.svg	0		Attack	A spell that deals 0 damage. Increase this spell's damage by 2 at the end of each turn. (Castable once per battle.)	A spell that deals 0 damage. Increase this spell's damage by 3 at the end of each turn. (Castable once per battle.)
Burst	ABILITY_Burst.svg	7		Attack	Fire a magical blast. (Castable once per battle.)	Fire a magical blast. (This spell costs 0 mana. Castable once per battle.)
Butt Scoot	ABILITY_Butt_Scoot.svg	4		Power	Move 1 tile, leaving a maggot familiar behind you.	Move up to 3 tiles, leaving a maggot familiar behind you.
Buy Catnip	ABILITY_Buy_Catnip.svg	0		Skill	Spend 5 coins, gain 10 mana. (Castable once per turn.)	Spend 5 coins, gain 15 mana. (Castable once per turn.)
Cat Nap	ABILITY_Cat_Nap.svg	2		Skill	Remove all of your debuffs, then fall asleep.	Remove all of your debuffs, gain All Stats Up, then fall asleep.
Claws Out	ABILITY_Claws_Out.svg	4		Skill	Gain +1 Thorns.	Gain +1 Thorns. (This spell costs less.)
Cold Shoulder	ABILITY_Cold_Shoulder.svg	6		Attack	Deal 1 ice damage and inflict Slow 1 at infinite range.	Deal 1 ice damage and inflict Slow 1 at infinite range. (This spell costs less.)
Confusion	ABILITY_Confusion.svg	5		Skill	Inflict Confusion 2 on a unit.	Inflict Confusion 4 on units in an area.
Copycat	ABILITY_Copycat.svg	5		Skill	This spell is a copy of the most recent spell an allied cat cast.	This spell is an upgraded copy of the most recent spell an allied cat cast.
CPR	ABILITY_CPR.svg	6		Skill	Revive an adjacent body to 1 HP.	Revive an adjacent body to 5 HP. (This spell costs less.)
Dart	ABILITY_Dart.svg	5		Skill	Throw a nail that ignores shield.	Throw a stronger nail that ignores shield. (This spell costs less.)
Desecrate	ABILITY_Desecrate.svg	0		Skill	Destroy a body.	Destroy a body and gain 2 mana.
Dexterous Hit	ABILITY_Dexterous_Hit.svg	6		Attack	A melee attack that deals damage equal to half your Dexterity, rounded up.	A melee attack that deals damage equal to half your Dexterity, rounded up. (This spell costs less.)
Doll Up	ABILITY_Doll_Up.svg	2		Skill	Gain +1 Charisma.	Gain +1 Charisma.Bonus Passive: You have a chance to inflict Charm on units that contact or attack you. This chance increases with your Charisma.
Dump	ABILITY_Dump.svg	3		Skill	Spawn a poop on an adjacent tile.	Spawn a poop on an adjacent tile. Inflict Poison 3 and a 15% chance to Stun if you poop on a unit.
Feather Feet	ABILITY_Feather_Feet.svg	4		Skill	Gain +1 Speed.	Gain +1 Speed.Bonus Passive: You're unaffected by tile effects.
Find a Rock	ABILITY_Find_a_Rock.svg	4		Skill	Dig up a small rock.	Dig up a small rock. (This spell costs less.)
Flex	ABILITY_Flex.svg	5		Skill	Gain +1 temporary Brace until your next turn and deal 1 knockback to each adjacent unit.	Gain +1 temporary Brace until your next turn and deal 3 knockback to each adjacent unit. (This spell costs less.)
Focus	ABILITY_Focus.svg	4		Skill	Gain +1 Dexterity.	Gain +1 Dexterity.Bonus Passive: +25% critical hit chance.
Forbidden Fart	ABILITY_Forbidden_Fart.svg	0		Attack	Damage, Inflict Poison 4 and Knock Up nearby units.There will be permanent consequences for casting this spell… (Castable once per turn.)	Damage, Inflict Poison 6 and Knock Up nearby units in a larger area.There will be permanent consequences for casting this spell… (Castable once per turn.)
Gamble	ABILITY_Gamble.svg	2		Attack	Gain +2% critical hit chance. If your next attack is critical, deal +100% more damage and spawn coins.	Gain +2% critical hit chance. If your next attack is critical, deal +200% more damage and spawn more coins.
Gym Membership	ABILITY_Gym_Membership.svg	0		Skill	Spend 5 coins, gain All Stats Up. (Castable once per turn.)	Spend 5 coins, gain All Stats Up and refresh your basic attack and movement actions. (Castable once per turn.)
Healing Bolt	ABILITY_Healing_Bolt.svg	7		Attack	A lightning bolt that heals and has a chance to Stun.	A lightning bolt that heals allies and has a chance to Stun enemies.
Hire Hitman	ABILITY_Hire_Hitman.svg	0		Power	Spend 7 coins, summon a bounty hunter. (Castable once per turn.)	Spend 7 coins, summon a bounty hunter with All Stats Up 2. (Castable once per turn.)
Hiss	ABILITY_Hiss.svg	6		Skill	Adjacent units move away from you. You have a 25% chance to inflict Fear on them.	Adjacent units move away from you. Inflict fear on them.
Hop	ABILITY_Hop.svg	3		Skill	Hop up to 2 tiles away.	Hop up to 4 tiles away.
